Word, Count
words, 24
able, 12
cognitive, 7
working, 6
define, 5
page, 6
lookup, 9
future, 19
make, 22
good, 29
true, 23
public, 10
widget, 8
forethought, 6
humans, 6
cognicism, 11
truth, 84
comments, 7
collective, 5
related, 5
longer, 5
machine, 9
live, 6
equivalent, 5
statements, 10
foresight, 11
goodness, 9
auto, 5
vision, 5
won, 5
start, 7
mimi, 8
rate, 21
reflections, 5
learning, 11
https, 6
10, 6
person, 5
right, 7
just, 10
currently, 5
multiple, 10
better, 7
false, 5
does, 15
questions, 8
stream, 21
link, 8
ll, 5
prediction, 17
earn, 6
buttons, 5
use, 16
andy, 13
lenr, 6
set, 10
truths, 8
current, 6
language, 10
hanners, 6
com, 21
akin, 5
thoughts, 64
important, 8
user, 15
greater, 5
http, 20
automatically, 5
thought, 89
statement, 9
context, 38
comes, 5
need, 28
word, 18
seek, 7
energy, 5
tool, 9
feature, 8
used, 12
idea, 33
watch, 8
state, 10
lead, 5
tomorrow, 6
streams, 5
conscious, 12
based, 5
william, 6
ask, 11
different, 13
thinking, 7
past, 7
know, 7
content, 12
data, 15
knowledge, 22
brain, 5
button, 5
create, 5
contexts, 13
like, 15
change, 8
speak, 23
type, 8
predict, 9
righteous, 8
relative, 6
collection, 6
prophet, 123
single, 6
necessary, 6
reflection, 21
2030, 5
users, 24
speaks, 10
meaning, 23
sentence, 5
rating, 21
express, 6
ideas, 22
predictions, 23
self, 5
end, 8
formal, 8
life, 8
present, 5
potential, 7
jargon, 5
patrick, 31
memory, 5
information, 24
reflect, 8
larger, 5
work, 6
site, 19
question, 6
private, 15
don, 10
think, 8
click, 6
maybe, 8
today, 5
economics, 5
things, 7
lifeos, 5
reality, 7
predictive, 10
thing, 5
concept, 11
matt, 10
free, 5
www, 18
tree, 13
consciousness, 24
time, 17
currency, 7
best, 6
vs, 6
vectors, 5
mind, 63
neural, 7
people, 10
new, 20
whos, 6
bet, 13
main, 5
try, 6
physical, 6
snappywords, 10
earns, 5
ken, 6
google, 6
way, 28
years, 6
post, 9
human, 9
day, 11
2014, 6
means, 11
useful, 8
needs, 6} 